result,material_balance,piece_mobility,control_of_center_small,control_of_center_large
0-1,3,29,0,10
0-1,2,18,10,30
0-1,2,28,20,30
0-1,-4,50,10,0
0-1,-10,32,-10,-20
0-1,-11,31,-10,-30
0-1,-11,0,-10,-30
0-1,1,31,20,30
0-1,-4,5,0,0
0-1,-12,44,-10,-10
0-1,-22,0,-20,-20
0-1,-3,38,-10,-10
0-1,-7,27,0,0
0-1,-7,5,0,0
0-1,-4,50,0,0
0-1,-12,16,0,0
1-0,-1,38,10,10
1-0,11,3,0,-10
1-0,16,23,0,-10
1-0,3,37,-10,0
1-0,2,25,0,10
1-0,3,28,10,30
1-0,12,15,10,30
1-0,-1,28,10,-10
1-0,-6,21,-10,-10
0-1,2,39,0,10
0-1,-2,0,10,20
0-1,-6,46,0,-30
0-1,-9,35,0,-20
0-1,5,24,0,20
0-1,-1,5,10,10
0-1,-7,25,10,20
0-1,-16,43,-10,-10
0-1,-18,2,-10,-10
0-1,4,39,10,0
0-1,-3,19,10,10
0-1,-2,16,10,0
1-0,2,3,-10,0
1-0,3,42,20,10
1-0,6,18,0,30
1-0,6,14,0,20
0-1,-2,34,-10,-10
0-1,-3,27,-10,-10
0-1,2,15,-10,0
0-1,2,6,-10,-30
0-1,-3,8,-10,-20
0-1,-3,33,0,-10
0-1,-5,32,-30,-30
0-1,-5,27,-20,0
0-1,-4,10,0,0
0-1,-9,30,0,-10
0-1,-9,0,0,-10
1-0,3,30,10,0
1-0,3,31,0,0
1-0,4,0,10,10
0-1,1,34,0,-10
0-1,6,3,-10,-20
0-1,4,2,-10,-30
0-1,-4,34,0,-20
0-1,-10,28,-10,-30
0-1,-10,2,-10,-20
1-0,3,38,10,30
1-0,2,28,30,60
1-0,2,5,30,40
1-0,10,8,0,30
0-1,1,34,0,-10
0-1,6,31,0,0
0-1,-6,36,0,-20
1-0,-1,31,10,30
1-0,5,2,10,40
1-0,5,0,10,50
1-0,2,40,10,20
1-0,3,27,0,30
1-0,12,14,10,20
1-0,-2,38,10,10
1-0,4,34,-10,-10
1-0,9,5,0,10
1-0,14,0,0,10
1-0,-2,40,-20,0
1-0,-1,0,-10,0
1-0,3,1,0,10
1-0,1,37,0,20
1-0,6,30,0,30
1-0,5,32,10,10
1-0,14,12,0,10
0-1,-1,36,20,10
0-1,-2,22,0,0
0-1,-3,30,-10,-30
0-1,-3,38,-10,-30
0-1,-3,41,-30,-30
0-1,-7,1,0,10
1-0,3,35,-10,-20
1-0,3,15,-10,0
1-0,4,8,10,10
1-0,5,6,10,0
1-0,10,4,0,0
1-0,18,1,0,0
1-0,18,0,0,10
0-1,-1,14,0,-30
0-1,-1,8,-20,-20
0-1,7,29,0,10
1-0,-2,0,10,0
1-0,3,37,10,20
1-0,7,18,20,20
1-0,9,8,10,10
1-0,13,5,10,20
1-0,13,0,10,10
0-1,1,29,10,20
0-1,3,26,10,10
0-1,1,10,10,20
0-1,1,42,0,-20
0-1,2,2,-10,10
0-1,-2,33,0,0
0-1,-7,32,0,10
0-1,-7,6,10,10
1-0,20,23,20,40
1-0,22,0,10,30
0-1,1,50,10,0
0-1,8,29,20,20
0-1,6,19,10,40
0-1,6,28,10,20
1-0,2,2,-10,-10
1-0,11,25,-10,0
1-0,12,2,-20,0
1-0,23,0,10,20
1-0,3,37,10,20
1-0,-1,39,0,-10
1-0,1,25,10,20
1-0,12,1,10,50
1-0,13,0,10,50
0-1,-6,28,20,20
0-1,-5,24,0,-20
0-1,-5,17,0,-20
0-1,-6,6,0,-40
1-0,-1,39,-20,-30
1-0,-4,31,-10,-20
0-1,1,30,0,10
0-1,3,44,10,-10
0-1,6,0,0,20
1-0,1,35,-10,-20
1-0,2,25,0,-20
1-0,1,40,0,0
1-0,7,42,10,20
1-0,2,32,10,0
0-1,-10,28,-10,-10
1-0,2,40,10,10
1-0,16,28,10,40
0-1,2,30,10,-10
0-1,-4,38,0,10
0-1,-4,1,0,10
1-0,11,25,0,0
1-0,15,2,0,30
1-0,15,0,0,30
0-1,-4,42,0,0
0-1,-8,29,0,20
0-1,-8,35,0,-10
0-1,-12,0,0,10
1-0,-2,37,10,0
1-0,12,22,0,0
1-0,3,21,-10,-10
1-0,15,17,0,10
0-1,7,27,0,0
0-1,-1,31,0,10
0-1,2,19,10,10
0-1,-3,13,10,10
1-0,7,31,0,-40
0-1,-1,37,10,20
0-1,-1,32,0,0
0-1,-2,5,20,10
0-1,-4,6,20,0
0-1,-1,37,20,10
0-1,-1,37,20,0
0-1,5,1,-10,-20
0-1,4,34,-10,0
0-1,-3,0,-10,0
1-0,9,23,-10,10
1-0,3,29,10,20
1-0,2,37,10,20
1-0,-2,1,10,20
1-0,6,36,-10,10
1-0,4,27,-10,0
1-0,1,2,0,-10
1-0,6,30,0,0
1-0,6,26,-10,0
1-0,7,32,0,10
1-0,4,29,0,0
1-0,6,31,-10,10
1-0,6,0,-10,0
0-1,1,32,0,0
1-0,1,45,10,20
1-0,1,31,10,20
1-0,10,0,10,20
0-1,-3,4,0,10
0-1,-1,38,20,0
0-1,-7,3,10,20
0-1,1,37,0,20
0-1,1,27,0,0
1-0,-1,36,0,-30
1-0,8,23,0,-10
1-0,1,35,20,20
1-0,10,31,10,0
1-0,6,26,10,10
1-0,1,18,0,0
1-0,1,50,10,20
1-0,1,3,0,0
0-1,1,36,-10,-20
0-1,-11,23,0,-10
1/2-1/2,1,50,10,10
1/2-1/2,3,40,-20,-20
1/2-1/2,3,2,-10,-20
1-0,8,20,10,0
1-0,12,0,-10,-10
1-0,8,22,10,-10
0-1,-1,37,0,10
0-1,-5,32,0,10
1-0,-2,34,-10,-30
1-0,-2,36,-10,-20
1-0,1,31,-10,0
1-0,6,0,-10,-10
0-1,-1,43,0,10
0-1,-3,34,0,-20
0-1,1,35,0,40
0-1,-9,28,0,10
1-0,1,38,10,10
1-0,6,33,20,10
1-0,2,0,10,0
1-0,4,5,-10,10
1-0,7,28,0,10
1-0,7,16,0,10
1-0,9,4,0,10
0-1,-1,27,-10,10
0-1,-1,33,10,0
0-1,-12,8,10,10
0-1,3,33,10,-30
0-1,2,41,10,10
0-1,-2,47,0,0
0-1,4,28,0,0
1-0,-6,45,0,-30
1-0,-6,33,-20,-40
1-0,3,13,-20,-40
0-1,-5,22,-10,-20
0-1,-13,43,0,20
0-1,-18,8,0,10
1-0,-1,31,-10,-10
1-0,2,2,-10,-10
1-0,9,18,0,10
1-0,8,55,0,30
1-0,8,26,-20,-20
1-0,9,22,10,0
1-0,10,15,0,-10
0-1,-2,34,-10,10
0-1,-3,0,-10,10
1-0,3,33,10,30
1-0,2,4,10,0
1-0,6,2,0,10
1-0,3,19,10,20
1-0,6,7,-20,-10
1-0,1,25,-20,-30
1-0,-2,12,0,-10
1-0,9,5,-10,-10
1-0,9,2,0,10
0-1,4,35,0,40
0-1,1,36,0,20
0-1,6,25,10,10
0-1,3,30,0,-10
0-1,-8,35,30,20
1-0,-1,28,0,30
1-0,1,14,0,10
1-0,1,10,0,0
1-0,6,6,10,10
1-0,15,0,10,20
0-1,2,39,10,30
0-1,-8,5,0,20
0-1,-7,40,0,-20
0-1,-16,2,0,-20
1/2-1/2,-2,44,0,-10
1/2-1/2,2,1,0,-10
0-1,-3,26,0,10
0-1,-7,30,-10,-20
0-1,-9,33,-10,0
0-1,-9,0,-20,-30
0-1,-3,31,-10,-10
0-1,-8,31,0,10
0-1,1,21,0,20
0-1,-4,26,0,0
0-1,2,27,0,20
0-1,-10,26,0,10
0-1,-6,5,0,20
0-1,-6,7,0,-20
0-1,-10,2,-10,-20
0-1,-6,34,10,10
0-1,-3,38,-10,10
0-1,-2,5,-10,10
0-1,-9,14,0,30
1-0,-2,24,-10,-10
1-0,11,33,-10,-20
1-0,8,42,0,-10
1-0,1,35,10,20
1-0,-5,50,-10,-10
1-0,-5,44,0,-10
1-0,4,33,20,10
1-0,18,19,0,-10
1-0,19,0,0,10
0-1,3,22,10,20
0-1,3,24,10,10
1-0,-1,33,10,0
1-0,-1,37,20,10
1-0,1,41,20,10
0-1,3,35,-10,0
0-1,-2,41,0,20
0-1,-10,43,10,10
0-1,-10,0,10,20
0-1,-1,53,-20,-10
0-1,1,32,20,30
0-1,1,37,10,-20
0-1,1,47,-10,-10
0-1,-5,30,-10,-20
1-0,-4,47,10,0
1-0,2,32,20,30
1-0,5,31,20,30
1-0,-2,49,-10,-10
1-0,1,28,20,20
1-0,-10,41,10,0
1-0,-5,24,10,20
1-0,-17,35,0,20
0-1,1,14,0,20
0-1,1,16,10,30
0-1,-1,14,0,10
0-1,2,10,0,0
1-0,-1,39,-20,-20
1-0,4,34,-10,-20
0-1,1,32,10,10
0-1,-1,38,10,30
0-1,1,41,10,-10
0-1,1,0,10,-10
0-1,1,47,-10,-30
0-1,1,42,0,-20
0-1,2,45,0,-20
0-1,-2,20,0,-10
1-0,-5,23,0,10
1-0,-3,20,10,20
1-0,5,20,0,10
1-0,5,5,0,0
1-0,5,16,0,-20
0-1,-9,3,-10,-10
1-0,2,2,0,0
0-1,2,5,-10,0
0-1,2,37,0,20
0-1,1,38,0,20
0-1,-9,36,0,30
0-1,-12,14,-10,0
0-1,-3,47,-10,-10
0-1,-3,45,-10,-10
0-1,-6,19,0,20
0-1,-12,5,0,10
1-0,10,27,0,20
1-0,13,0,-20,10
1-0,4,51,0,-20
1-0,-1,35,-10,0
1-0,6,0,0,-10
1-0,3,2,10,-10
1-0,-2,45,-20,0
1-0,3,38,0,-10
1-0,-5,16,0,-10
0-1,-1,46,-20,-20
0-1,-4,3,-10,-10
0-1,1,41,0,30
0-1,-3,39,0,-20
0-1,-3,35,10,10
0-1,-5,23,10,0
0-1,-6,13,10,-20
1-0,1,39,20,10
1-0,3,13,-10,-10
1-0,3,9,-10,-20
1-0,10,7,0,10
1-0,18,2,0,10
1-0,18,1,0,10
1-0,2,2,10,30
1-0,2,0,10,20
1-0,3,4,10,0
1-0,12,2,10,0
1-0,-1,42,-10,-50
1-0,6,30,10,20
1-0,11,21,-10,0
1-0,1,45,20,40
1-0,8,43,-10,-10
1-0,8,0,0,20
1-0,-2,33,0,0
1-0,8,1,-10,-20
1-0,13,20,10,10
0-1,-6,40,-20,-10
0-1,-5,2,0,0
0-1,1,42,10,20
0-1,1,40,-10,20
0-1,-4,37,-10,-20
1/2-1/2,3,37,10,10
1/2-1/2,-6,1,0,-10
1/2-1/2,-6,1,0,-10
0-1,2,3,10,20
0-1,2,42,10,0
0-1,-5,37,10,20
0-1,-3,35,10,0
1-0,-5,43,10,10
1-0,-5,7,10,20
1-0,-1,0,20,0
0-1,5,6,0,0
0-1,-1,48,-10,-20
0-1,-1,47,10,20
0-1,-1,0,10,30
0-1,2,47,0,30
1-0,-1,41,0,-10
1-0,1,50,-10,10
1-0,4,30,0,10
1-0,11,0,0,0
0-1,13,17,10,30
0-1,20,7,20,50
0-1,18,10,20,50
0-1,24,45,20,30
0-1,3,32,10,20
0-1,-1,2,0,10
0-1,-1,29,-10,-10
0-1,-2,39,-10,-10
0-1,-11,22,-10,0
1-0,12,23,30,40
1-0,7,0,20,20
1-0,-1,42,10,10
1-0,1,2,10,10
0-1,1,29,10,20
0-1,-1,44,10,10
0-1,-9,28,0,0
0-1,3,26,10,10
0-1,3,24,10,30
0-1,-6,9,10,30
1-0,1,34,10,20
1-0,2,34,10,10
1/2-1/2,3,40,0,10
1/2-1/2,-2,38,-20,-20
1/2-1/2,2,21,-10,10
1/2-1/2,-3,15,10,0
1/2-1/2,-19,58,0,-20
1/2-1/2,-19,55,-20,-30
1/2-1/2,1,39,0,10
1/2-1/2,2,41,-10,-10
1-0,-2,42,0,-10
1-0,10,13,10,20
1-0,10,4,0,10
0-1,3,24,10,30
0-1,-3,23,0,10
0-1,-1,0,10,20
0-1,1,44,20,30
0-1,3,36,20,30
0-1,3,12,0,20
0-1,4,7,10,10
0-1,11,30,10,10
0-1,1,33,20,30
0-1,-8,42,-10,-10
0-1,-11,0,10,0
0-1,-3,28,0,10
0-1,-3,23,10,20
0-1,-5,11,0,-10
0-1,-2,10,0,-10
0-1,-10,36,0,-10
0-1,-10,0,0,0
0-1,2,17,10,30
0-1,1,21,10,30
0-1,2,13,10,10
0-1,2,16,10,30
0-1,1,19,10,10
0-1,-4,33,0,10
0-1,-4,32,-10,-10
0-1,-13,40,-10,-20
0-1,-13,28,-10,-20
0-1,-13,0,-10,-20
0-1,6,21,10,0
0-1,8,16,10,-10
0-1,9,33,10,-10
1-0,10,26,0,-20
1-0,2,27,10,30
1-0,6,24,0,40
1-0,6,1,10,20
1-0,6,0,10,20
1-0,5,32,0,-30
1-0,8,43,20,20
1-0,8,9,10,20
1-0,17,0,0,10
0-1,-16,52,0,-10
0-1,-16,3,0,-10
0-1,-1,28,0,-10
0-1,-3,38,-10,-10
0-1,-6,22,-10,-10
0-1,-10,21,0,-20
0-1,-15,3,10,0
1-0,1,29,10,30
1-0,1,41,0,20
1-0,13,29,10,20
1-0,12,2,0,10
0-1,1,5,10,0
0-1,3,3,-10,10
0-1,-7,41,0,20
0-1,-10,3,0,0
0-1,1,30,0,0
0-1,7,8,-20,-20
0-1,2,7,-10,-10
0-1,2,9,-10,-10
0-1,-1,31,20,30
0-1,-1,28,10,10
0-1,-6,4,10,10
0-1,-7,21,10,-10
0-1,7,30,-10,10
0-1,-2,32,-10,-20
0-1,-2,31,0,-20
0-1,-4,45,-20,-10
0-1,-10,42,-20,-20
0-1,-17,37,0,-10
0-1,-25,0,0,0
1-0,6,39,0,-10
1-0,7,18,0,0
0-1,-1,32,0,-20
0-1,-1,21,0,0
0-1,1,3,-10,10
1-0,5,0,0,20
1-0,-1,38,-10,-20
1-0,1,24,-20,-40
1-0,-1,53,-10,-10
1-0,-2,33,-10,10
1-0,-4,23,0,10
1-0,-5,35,-10,10
1-0,-7,6,0,-10
1-0,-1,26,-10,-10
1-0,1,23,0,-20
1-0,9,6,-10,-10
1-0,9,5,0,0
1-0,-1,34,0,10
1-0,1,18,10,10
1-0,-1,7,0,-10
1/2-1/2,2,1,10,0
1/2-1/2,4,25,0,0
1/2-1/2,6,25,-10,0
1/2-1/2,5,28,0,-10
1-0,1,31,20,30
1-0,1,27,0,0
1-0,4,14,10,20
1-0,10,9,10,20
1-0,3,46,10,20
1-0,2,5,10,10
1-0,-3,47,-10,-10
0-1,-1,4,0,-10
0-1,-15,0,0,10
0-1,2,26,-10,10
0-1,-2,25,-10,20
0-1,-5,2,0,0
1/2-1/2,-1,41,0,-10
1/2-1/2,-2,31,0,-10
1/2-1/2,-1,26,0,-10
1-0,10,2,10,-10
1-0,5,4,20,30
1-0,2,15,10,0
1-0,4,4,10,10
1-0,6,2,0,0
0-1,2,0,0,10
1-0,-3,3,-10,-10
0-1,-1,46,10,30
0-1,-1,23,-10,0
0-1,-4,14,-20,-10
1/2-1/2,-5,23,30,20
1/2-1/2,1,32,20,10
1/2-1/2,1,26,20,10
1/2-1/2,-2,19,10,30
1/2-1/2,-2,17,20,30
1/2-1/2,-2,16,20,20
1/2-1/2,-2,28,20,20
1/2-1/2,-2,24,20,30
1/2-1/2,-2,25,20,20
1-0,11,0,0,20
1-0,-4,40,0,30
1-0,7,1,0,10
1-0,1,30,10,0
1-0,7,24,-10,-10
1-0,10,22,-10,20
1-0,12,6,-10,-10
1-0,4,31,10,-10
1-0,3,20,10,20
1-0,-3,31,10,-10
1-0,-4,35,10,0
1-0,1,1,-20,-20
0-1,-2,21,10,10
1-0,2,32,10,30
1-0,3,24,0,30
1-0,14,6,10,30
1-0,14,0,10,20
0-1,-5,1,10,10
0-1,-3,2,0,20
0-1,7,23,10,20
0-1,9,23,10,0
1-0,3,34,10,20
1-0,-2,36,10,-10
1-0,-4,40,-10,-10
1-0,-4,33,-10,0
1-0,-1,38,-10,-10
1-0,1,22,0,10
1-0,1,26,-10,0
1-0,1,15,10,30
1-0,1,13,20,10
1-0,1,13,10,10
1-0,3,31,10,0
1-0,12,25,0,-10
1-0,1,36,10,40
1-0,1,33,10,30
1-0,2,34,20,30
0-1,-1,33,10,30
0-1,-3,43,0,-10
1-0,1,41,0,0
1-0,7,6,-10,-20
1-0,10,0,-10,10
0-1,-4,4,0,10
0-1,-3,2,-10,-10
0-1,2,28,-10,-20
0-1,2,20,-10,0
0-1,2,3,20,40
0-1,2,31,20,40
0-1,-9,35,20,20
1-0,1,30,20,20
1-0,2,34,-10,-10
1-0,9,16,10,20
1-0,6,3,10,20
1-0,11,1,-10,10
1-0,12,0,0,10
1-0,6,5,0,-30
1-0,16,1,0,-20
1-0,27,2,10,10
1-0,27,0,0,10
1-0,5,15,0,10
1-0,6,19,10,30
1-0,4,5,0,40
1-0,4,2,0,40
1-0,12,0,0,30
0-1,-1,25,10,30
0-1,-1,30,20,20
0-1,-5,1,20,20
1-0,1,0,10,10
1-0,1,31,20,20
1-0,1,27,10,40
1-0,9,16,0,10
0-1,-1,19,0,-30
0-1,-7,32,0,-10
0-1,-8,11,0,0
0-1,-1,32,-20,0
0-1,-5,25,10,20
0-1,-5,23,10,10
0-1,-7,27,10,-10
0-1,-10,23,0,-20
0-1,-14,32,10,0
0-1,-18,44,10,0
0-1,-18,0,0,-20
0-1,1,35,10,30
0-1,3,53,0,30
0-1,12,31,-10,-10
0-1,-2,39,10,-20
0-1,-3,35,-10,-40
0-1,-6,42,10,-10
0-1,-7,20,0,-10
0-1,-8,2,0,-10
0-1,-3,25,30,30
0-1,-9,50,-10,-20
0-1,-13,42,10,-20
0-1,-10,0,10,0
0-1,-1,22,10,0
0-1,-4,23,10,20
1-0,-4,22,0,0
0-1,1,47,0,10
0-1,-5,0,0,-10
1-0,4,31,10,20
1-0,3,48,20,20
1-0,2,29,0,10
1/2-1/2,3,37,-10,10
1/2-1/2,7,3,0,10
1/2-1/2,5,40,0,30
1/2-1/2,5,41,0,20
1/2-1/2,5,1,0,20
1-0,-1,32,10,0
1-0,1,28,0,0
1-0,3,3,10,0
1-0,3,6,10,0
0-1,-2,44,-10,-10
0-1,-9,17,-10,-30
1-0,3,39,10,0
1-0,6,19,10,0
1-0,6,3,10,0
1-0,5,22,30,20
1-0,5,29,0,-10
1-0,16,0,0,10
1-0,2,21,20,10
1-0,3,1,0,10
1-0,3,7,10,20
0-1,-2,34,-10,-20
0-1,-4,28,0,10
0-1,-7,21,0,0
0-1,-7,21,-10,-10
0-1,-7,24,0,-20
0-1,-7,0,0,-10
0-1,-9,48,0,-30
0-1,-9,7,-10,-30
1-0,-1,40,-10,-30
1-0,9,34,0,10
1-0,1,26,10,10
1-0,-2,28,20,20
1-0,-2,44,10,10
1-0,1,0,-10,0
1-0,1,30,20,30
1-0,1,39,20,30
1-0,1,5,30,10
1-0,7,21,20,0
1-0,3,29,0,0
1-0,8,2,10,10
1-0,17,3,0,0
1-0,1,37,10,20
1-0,6,0,10,10
1-0,3,28,10,0
1-0,-1,26,30,10
1-0,-3,23,0,10
1-0,4,6,0,20
0-1,-1,1,20,10
0-1,-1,36,-10,-10
0-1,-1,13,0,10
0-1,-2,4,0,-10
1-0,-1,29,0,20
1-0,10,2,0,20
1-0,9,24,10,10
1-0,14,0,0,0
1/2-1/2,-2,27,10,20
1/2-1/2,1,26,0,20
1/2-1/2,1,5,10,10
1-0,6,29,10,10
0-1,-1,31,0,-10
0-1,8,18,0,-20
0-1,5,9,0,0
0-1,6,7,0,0
1-0,1,35,10,20
1-0,8,13,10,10
1-0,-1,42,10,0
1-0,-4,44,0,-10
1-0,5,15,0,-10
0-1,2,47,10,30
0-1,-5,31,10,20
0-1,-7,27,0,10
0-1,-4,27,0,20
0-1,-4,12,0,-20
0-1,-1,43,-10,0
0-1,-2,36,-20,-10
0-1,-3,1,-10,-10
0-1,1,20,-10,-20
0-1,2,5,0,-10
0-1,-11,27,-10,-20
0-1,-19,1,0,0
1/2-1/2,1,35,-10,-40
1/2-1/2,-2,3,-10,-20
1/2-1/2,-5,29,0,-20
1/2-1/2,-4,16,0,0
1/2-1/2,5,40,-20,0
1/2-1/2,3,22,0,0
1/2-1/2,1,7,0,0
1/2-1/2,-9,20,0,0
1/2-1/2,-18,45,0,-10
1/2-1/2,3,33,0,10
1/2-1/2,5,25,0,0
1/2-1/2,10,7,0,10
1/2-1/2,12,3,0,20
1/2-1/2,17,36,0,20
1-0,1,35,0,40
1-0,4,0,10,0
1-0,-1,35,-10,0
0-1,-1,7,0,0
1/2-1/2,-1,38,-10,-10
1/2-1/2,-2,37,10,10
1/2-1/2,-2,38,10,10
1-0,1,18,0,0
1-0,2,15,10,10
1-0,15,5,0,0
1-0,9,32,20,30
1-0,-1,35,0,-20
1-0,2,27,0,10
0-1,-2,32,10,10
0-1,-5,37,10,0
0-1,-9,30,10,-10
0-1,-9,2,10,-10
1-0,-1,34,20,10
1-0,-2,0,-10,0
0-1,-3,44,10,-10
0-1,-3,1,10,-10
1/2-1/2,10,25,10,20
1/2-1/2,28,5,20,10
1/2-1/2,21,1,0,10
1/2-1/2,16,0,0,0
0-1,-5,43,10,0
0-1,-8,7,10,30
0-1,-9,0,20,40
1-0,3,37,0,20
1-0,10,3,10,0
1-0,15,9,10,10
1-0,15,0,0,0
1-0,-1,49,0,0
1-0,1,34,0,-10
1-0,5,22,10,30
1-0,5,9,0,20
1-0,5,6,0,10
0-1,1,35,10,10
0-1,2,33,0,0
0-1,-2,13,-10,0
0-1,3,36,20,10
0-1,1,30,20,30
0-1,-8,36,20,20
0-1,-8,11,20,30
0-1,3,36,0,0
0-1,-3,44,10,0
0-1,-5,29,10,0
0-1,3,3,30,10
0-1,5,28,10,10
0-1,-1,5,0,0
0-1,-1,6,0,0
0-1,-1,1,0,0
0-1,-4,18,0,-10
1-0,-2,40,-20,-10
1-0,-2,40,-10,-10
1-0,11,3,20,20
1-0,2,7,30,20
1-0,2,6,20,20
1-0,1,28,10,20
1-0,5,18,0,10
1-0,3,29,-10,-30
1-0,1,18,-10,-10
1-0,9,3,0,10
1-0,9,1,0,10
1-0,4,0,0,20
1-0,1,40,10,10
1-0,-5,47,-20,-30
1-0,1,19,10,20
1-0,2,13,0,10
1-0,9,1,0,20
0-1,3,41,10,20
0-1,4,40,-10,-10
0-1,5,43,0,0
0-1,-1,43,-20,-20
0-1,1,26,-10,10
0-1,3,31,0,-10
0-1,-12,31,0,-10
0-1,-12,0,0,-10
0-1,-5,33,20,30
0-1,-14,0,0,10
0-1,-1,38,10,0
0-1,-5,3,-20,-30
1-0,-1,39,-10,-10
1-0,-6,32,-10,-10
1-0,-1,32,0,-20
1-0,-6,17,0,0
1-0,7,8,0,0
1-0,1,42,20,30
1-0,5,33,10,30
1-0,16,9,0,0
1-0,24,5,0,0
0-1,1,21,-10,0
0-1,2,21,-10,-10
0-1,-1,28,0,-20
0-1,-2,22,-20,-10
0-1,1,33,0,0
0-1,1,24,0,-10
0-1,-3,22,-10,0
0-1,-3,23,-20,-40
0-1,2,20,-10,-30
0-1,-1,24,0,-30
0-1,-8,21,0,-20
0-1,-16,3,0,-20
1-0,6,26,20,40
1-0,3,21,-10,-10
0-1,-1,17,0,0
0-1,-1,17,10,-10
0-1,-3,15,0,0
0-1,-9,35,-10,-10
0-1,-9,0,0,0
0-1,-1,39,-20,-30
0-1,-2,1,-20,-20
1-0,3,18,0,0
1-0,19,1,10,20
1-0,2,40,0,-10
1-0,1,9,10,0
1-0,7,1,10,0
1-0,-2,55,0,0
1-0,1,40,0,0
1-0,2,3,0,10
1-0,5,5,0,10
1-0,7,2,0,0
1-0,15,0,0,0
0-1,4,49,-10,-10
0-1,4,0,-10,0
0-1,-1,19,-10,0
0-1,-2,16,0,-10
0-1,-14,45,-20,-20
0-1,-14,0,0,0
0-1,-6,29,0,20
0-1,-4,40,0,-20
0-1,-1,19,0,20
0-1,-7,3,10,0
0-1,-12,44,-10,-20
0-1,-12,4,0,-30
0-1,-1,35,10,10
0-1,-1,36,0,0
0-1,-1,0,-10,-20
1-0,4,34,0,-10
1-0,5,28,0,10
1-0,4,20,0,30
1-0,-1,27,0,10
0-1,-5,34,-10,0
0-1,-3,30,-10,0
0-1,-2,40,-10,-20
0-1,-11,39,-10,0
0-1,-13,0,-10,-10
1-0,1,32,-10,0
1-0,1,0,0,0
0-1,3,34,-20,-10
0-1,-5,50,-10,-20
0-1,-5,0,-10,-20
1-0,2,41,-10,-30
1-0,1,41,0,-10
1-0,2,0,0,-10
1-0,1,31,10,30
1-0,2,39,0,0
1-0,3,47,-10,-10
1-0,-10,33,0,-10
0-1,-5,36,0,20
0-1,-10,46,10,20
1-0,2,27,10,10
1/2-1/2,-2,47,0,-40
1/2-1/2,3,40,0,-20
1/2-1/2,3,35,-10,-20
1/2-1/2,-3,15,-10,-10
1/2-1/2,-5,21,-10,-20
1/2-1/2,-7,20,10,-10
1/2-1/2,-7,0,-10,-20
0-1,-1,35,0,-10
0-1,2,2,20,30
0-1,-1,31,10,10
1-0,-11,30,10,0
1-0,-9,22,0,-10
1-0,-7,35,0,0
1-0,-7,26,0,20
1-0,-6,31,0,10
1-0,1,30,20,0
1-0,1,20,10,10
1-0,4,5,-10,-10
0-1,-9,33,0,-20
1-0,-1,34,-20,-20
1-0,1,21,-10,0
0-1,-1,35,0,10
0-1,-3,23,10,20
0-1,-6,26,0,-10
0-1,-9,22,-20,-20
0-1,-19,1,-10,-20
1-0,2,41,10,0
1-0,-2,37,0,-20
1-0,4,6,-10,-10
1-0,-4,32,-10,-30
1-0,-13,33,0,-10
1-0,-13,41,-10,-20
0-1,5,39,-10,0
0-1,2,13,-30,-10
0-1,-1,16,0,-10
0-1,-1,14,10,0
0-1,-14,1,-20,-30
1-0,4,4,-10,-10
1-0,1,36,-10,20
1-0,3,19,-10,-10
1-0,7,14,-10,-20
1-0,6,3,0,10
0-1,-7,35,-10,-20
0-1,-8,0,-10,-20
0-1,6,27,0,10
0-1,6,35,0,10
0-1,3,32,0,20
0-1,-1,23,-10,-30
0-1,-1,4,-10,-40
0-1,3,45,-10,-20
0-1,2,4,0,-20
0-1,-7,0,0,0
1-0,10,0,0,30
1-0,-1,2,10,0
1-0,-1,5,-10,0
0-1,2,39,0,0
0-1,7,33,0,-10
1-0,3,34,0,-10
0-1,-3,36,-10,-10
0-1,-4,2,0,0
1/2-1/2,4,32,0,-20
1/2-1/2,1,18,0,-10
1/2-1/2,1,16,0,10
1/2-1/2,1,19,0,0
1-0,7,33,30,40
1-0,6,4,10,20
1-0,8,14,10,40
0-1,-1,38,-10,-30
0-1,-2,38,0,-40
0-1,-5,26,-10,-20
0-1,-13,38,0,10
0-1,-14,0,0,0
1-0,2,35,0,10
1-0,5,5,0,-10
1-0,6,2,0,30
1-0,1,32,20,30
0-1,2,25,10,10
0-1,-1,29,10,-20
0-1,-4,30,0,-20
0-1,-3,30,-10,-20
0-1,-3,13,-10,-20
0-1,1,44,10,0
0-1,4,0,10,10
0-1,2,2,-10,0
1-0,1,3,20,30
1-0,4,19,30,10
1-0,8,11,10,10
0-1,-2,37,-10,-10
0-1,-1,36,20,10
0-1,-1,0,0,0
1-0,4,30,-10,-10
1-0,6,19,-10,0
1-0,3,41,-20,-20
1-0,9,3,0,0
1-0,6,11,10,40
1-0,16,4,10,10
1-0,23,0,0,20
1-0,7,34,0,10
1-0,10,2,0,10
1-0,1,8,-10,-10
1-0,2,8,0,0
1-0,3,35,10,30
1-0,1,28,0,10
1-0,3,15,0,-10
1-0,5,13,10,0
1-0,2,1,-10,-10
1-0,-1,27,0,-10
1-0,-3,32,0,10
1-0,-9,38,20,20
1-0,2,32,20,30
1-0,-7,42,10,10
1-0,-4,2,10,30
1-0,-3,33,10,10
1-0,6,2,10,20
0-1,1,43,10,10
0-1,8,4,0,0
0-1,-13,0,0,-10
0-1,-1,36,0,0
0-1,-9,38,0,0
