result,material_balance,piece_mobility,control_of_center_small,control_of_center_large
1/2-1/2,3,39,0,-10
1/2-1/2,1,5,-10,-30
1/2-1/2,1,11,-10,-20
1/2-1/2,-3,2,0,-10
1-0,8,2,10,-10
1-0,-2,29,0,-10
1-0,-3,38,0,-10
1-0,4,15,10,10
1-0,-1,13,10,20
0-1,-2,29,-10,-20
0-1,1,25,0,20
0-1,-2,6,10,20
1-0,1,37,0,0
1-0,6,32,0,-10
1/2-1/2,-2,23,-10,-10
1/2-1/2,-1,18,0,0
1/2-1/2,-1,20,0,0
1/2-1/2,-1,20,10,0
0-1,1,47,-10,-10
0-1,-1,25,-10,-20
0-1,-3,19,-10,-30
1-0,-1,33,0,0
1-0,-2,19,-10,-20
1-0,-4,20,-10,-10
1-0,-4,18,-10,-10
0-1,3,26,0,40
0-1,-3,1,10,20
0-1,-3,37,0,-20
0-1,-4,35,-10,-20
0-1,-4,21,-10,-30
0-1,-4,17,0,-20
0-1,7,33,0,20
0-1,-4,27,-10,10
0-1,-7,10,-10,-10
0-1,3,40,0,-10
0-1,-3,31,0,20
0-1,-5,30,-10,0
0-1,-13,39,0,-20
0-1,-12,0,0,-20
1-0,-1,39,-10,10
1-0,6,31,0,-10
1-0,6,0,0,-10
1-0,-3,27,0,-10
1-0,-1,45,0,-10
1-0,2,39,10,10
1-0,8,0,10,10
0-1,-1,35,-20,-10
0-1,-1,23,-10,-20
0-1,-2,22,0,-10
0-1,-1,17,0,0
0-1,-5,20,0,0
0-1,-5,19,-10,-10
0-1,-5,20,-10,0
0-1,-5,19,0,0
0-1,-5,0,0,-10
1/2-1/2,5,26,30,50
1/2-1/2,5,33,10,20
1/2-1/2,4,14,10,10
1/2-1/2,3,16,-10,-10
1/2-1/2,4,6,0,0
1/2-1/2,4,12,0,0
1-0,3,36,20,20
1-0,-5,26,30,30
1-0,-2,1,20,10
1-0,-1,0,20,20
1-0,3,33,0,0
1-0,5,28,10,0
1-0,9,18,10,10
1-0,11,6,10,10
1/2-1/2,6,26,0,0
1/2-1/2,3,6,-10,10
1/2-1/2,5,25,10,40
1/2-1/2,5,26,10,30
1-0,1,28,-10,-10
1-0,4,17,-10,0
1-0,5,11,-10,0
1-0,13,12,-10,0
1-0,1,13,10,20
1-0,2,11,10,30
1-0,2,30,0,-10
1-0,3,14,-10,-20
1-0,9,2,-10,-20
1-0,9,0,0,-10
1-0,2,48,-10,20
1-0,-3,24,-10,-30
1-0,-2,0,-10,-30
1-0,-1,41,10,-10
1-0,-2,42,10,0
1-0,-8,39,10,10
1-0,-9,54,10,0
1-0,1,37,10,20
1-0,1,30,20,0
1-0,11,1,0,0
1-0,9,2,0,10
1-0,-11,22,-10,-20
1-0,-1,0,10,10
0-1,-2,6,0,-10
0-1,-3,33,-20,-40
0-1,-14,49,10,0
0-1,-18,0,-10,-30
1-0,2,36,10,10
1-0,4,15,0,0
1-0,10,0,0,20
1-0,7,25,10,10
0-1,-3,2,10,-20
0-1,-9,37,10,0
0-1,-8,5,10,-10
0-1,-12,4,10,20
0-1,-17,6,10,0
0-1,1,39,-10,0
0-1,2,47,-10,-10
0-1,1,32,0,20
0-1,1,38,0,20
1-0,1,35,30,50
1-0,1,26,-10,20
1-0,-1,0,-10,20
0-1,1,7,0,0
0-1,-3,15,0,-10
0-1,-4,8,0,0
0-1,-12,2,0,0
0-1,-3,42,0,-10
0-1,-6,35,10,0
0-1,-4,28,-10,10
0-1,-4,38,10,0
0-1,-2,12,0,0
0-1,-1,5,0,-10
0-1,-7,24,10,10
0-1,-7,7,0,-30
0-1,-9,29,0,-20
0-1,-10,0,0,-10
1-0,-4,44,-20,-20
1-0,-4,50,-10,10
1-0,-13,55,-10,0
1-0,-1,45,10,10
1-0,-1,25,0,-10
1-0,8,9,0,-10
1-0,10,2,-10,-20
1-0,15,27,-10,-30
1-0,-2,30,10,10
1-0,-2,30,0,20
1-0,3,0,20,0
0-1,1,34,0,10
